F090W_vega,F150W_vega
27.183,25.45
27.256,25.448
27.114,25.445
27.022,25.447
27.066,25.435
27.296,26.608
27.117,25.443
27.225,25.462
26.788,25.465
27.271,25.473
26.965,25.465
27.225,25.472
27.055,25.469
26.979,25.41
27.148,25.473
26.981,25.475
27.133,25.421
27.47,25.493
27.118,25.468
27.09,25.481
26.936,25.49
27.095,25.416
27.126,25.478
27.041,25.485
27.146,25.492
27.282,25.418
27.063,25.466
27.063,25.442
27.087,25.467
26.984,25.501
27.068,25.497
27.13,25.447
27.099,25.485
27.179,25.506
27.034,25.458
26.989,25.49
27.134,25.494
27.169,25.491
27.13,25.492
27.002,25.487
26.644,25.505
27.267,25.501
27.333,25.501
27.171,25.512
27.03,25.486
26.994,25.438
26.73,25.489
26.994,25.511
26.969,25.455
27.091,25.51
27.197,25.474
27.412,25.521
27.091,25.542
27.044,25.496
27.187,25.485
27.383,25.533
26.978,25.518
27.402,25.526
27.275,25.506
27.607,25.546
27.111,25.52
27.253,25.535
26.996,25.463
27.134,25.542
27.079,25.522
27.145,25.474
27.012,25.53
27.184,25.543
27.341,25.488
27.029,25.529
27.152,25.532
27.463,25.541
27.11,25.53
27.161,25.551
27.272,25.536
27.451,25.554
27.119,25.536
27.418,25.537
27.388,25.543
27.127,25.539
27.297,25.529
27.077,25.538
27.053,25.549
26.677,25.563
27.106,25.551
27.173,25.552
27.278,25.549
27.077,25.549
27.139,25.558
27.098,25.548
27.365,25.569
27.169,25.574
27.222,25.57
27.635,25.608
26.927,25.549
27.018,25.575
27.301,25.587
27.065,25.575
26.727,25.593
26.979,25.59
27.488,25.552
27.09,25.533
27.186,25.595
27.228,25.593
27.11,25.576
27.065,25.596
27.479,25.627
27.13,25.6
27.231,25.6
27.132,25.61
27.572,25.614
27.11,25.547
27.2,25.597
27.289,25.629
27.265,25.626
27.165,25.615
27.098,25.618
27.19,25.572
27.347,25.633
27.602,25.596
27.336,25.637
27.048,25.633
27.223,25.628
27.195,25.636
27.202,25.631
27.366,25.644
27.237,25.579
27.168,25.601
27.58,25.664
27.061,25.644
27.259,25.649
27.271,25.653
28.124,25.719
27.264,25.664
26.937,25.608
27.218,25.591
27.107,25.662
27.35,25.675
27.179,25.661
27.253,25.612
27.167,25.603
27.453,25.668
27.446,25.692
27.249,25.66
27.277,25.679
27.314,25.671
27.161,25.677
27.413,25.695
27.342,25.749
27.279,25.684
27.171,25.684
27.069,25.675
27.505,25.706
27.282,25.677
27.441,25.632
28.128,25.693
27.034,25.689
27.229,25.688
27.29,25.704
27.464,25.697
27.261,25.698
27.416,25.711
27.295,25.702
26.979,25.706
28.521,26.873
27.174,25.667
27.172,25.727
27.196,25.717
27.324,25.698
27.216,25.692
27.249,25.706
27.129,25.72
27.177,25.673
27.205,25.722
27.503,25.736
27.088,25.728
27.324,25.727
27.26,25.718
27.115,25.717
27.794,25.697
27.272,25.72
27.014,25.748
27.369,25.731
27.289,25.686
27.233,25.722
27.191,25.726
27.242,25.745
26.964,25.673
27.25,25.676
27.387,25.725
27.426,25.749
27.128,25.748
27.247,25.752
27.365,25.759
27.271,25.695
27.432,25.761
27.488,25.748
27.178,25.712
27.302,25.752
27.352,25.762
27.298,25.75
27.423,25.772
27.548,25.781
27.327,25.755
27.357,25.757
27.382,25.768
27.305,25.765
27.641,25.764
27.202,25.717
27.277,25.778
27.326,25.782
27.271,25.775
27.402,25.787
27.551,25.79
27.396,25.804
27.306,25.783
27.275,25.781
27.671,25.816
27.896,25.835
27.291,25.81
27.313,25.803
28.052,26.679
27.428,25.808
27.387,25.809
27.214,25.8
27.353,25.829
27.403,25.819
27.608,25.762
27.527,25.836
27.527,25.827
27.258,25.827
27.348,25.82
27.234,25.77
26.985,25.806
27.181,25.818
27.341,25.792
27.461,25.815
27.271,25.819
27.373,25.816
27.631,25.845
27.585,25.84
27.621,25.828
27.66,25.836
27.195,25.797
27.301,25.845
27.299,25.845
27.555,25.858
27.4,25.846
26.741,25.9
27.454,25.842
27.491,25.853
27.435,25.865
27.103,25.847
27.729,25.821
27.367,25.846
27.468,25.872
