F090W_vega,F150W_vega
18.75,17.459
19.482,18.212
20.966,19.846
20.973,20.265
21.37,20.21
21.409,20.551
21.904,20.687
21.861,21.295
22.006,21.424
23.178,21.422
22.261,21.728
22.371,21.815
22.519,21.905
22.605,21.917
22.774,22.189
24.06,22.021
23.456,22.721
23.518,22.84
23.715,22.813
26.045,22.75
23.729,22.923
23.694,22.975
23.893,23.164
24.015,23.116
24.042,23.108
24.031,23.152
25.077,23.094
24.078,23.298
24.419,23.272
24.125,23.321
24.273,23.354
24.258,23.361
24.33,23.455
24.387,23.492
24.47,23.538
25.134,23.411
24.597,23.591
24.705,23.754
24.793,23.772
24.929,23.832
25.158,23.818
25.097,23.907
25.929,23.985
25.668,23.957
25.685,24.027
25.766,24.084
25.719,24.117
26.257,24.13
26.341,24.141
25.707,24.197
26.102,24.176
25.933,24.218
26.043,24.176
26.04,24.18
25.426,24.303
26.176,24.255
25.845,24.222
26.679,24.317
25.972,24.299
25.4,24.348
25.465,24.379
25.448,24.383
25.419,24.402
26.2,24.341
26.244,24.266
26.22,24.358
25.937,24.372
25.92,24.387
26.284,24.322
28.128,24.578
25.96,24.344
26.308,24.385
26.335,24.398
26.176,24.413
25.528,24.484
26.447,24.432
26.428,24.425
26.537,24.451
26.322,24.441
26.059,24.498
26.291,24.474
26.069,24.503
26.36,24.511
26.438,24.494
26.523,24.455
26.303,24.463
26.515,24.528
25.646,24.514
26.448,24.473
26.154,24.45
26.416,24.491
26.25,24.522
26.375,24.473
25.726,24.575
26.615,24.499
25.682,24.534
26.234,24.541
26.088,24.578
26.447,24.587
26.24,24.517
26.733,24.508
25.716,24.573
26.57,24.599
26.461,24.59
26.37,24.603
26.102,24.558
26.29,24.55
26.49,24.602
26.574,24.615
26.538,24.564
26.041,24.58
25.765,24.636
25.764,24.628
26.265,24.569
26.485,24.627
26.376,24.644
26.295,24.633
26.138,24.596
27.377,24.697
26.591,24.649
26.714,24.719
26.614,24.659
26.277,24.642
26.545,24.64
26.338,24.623
26.518,24.667
26.356,24.71
26.551,24.716
26.439,24.708
25.986,24.749
26.4,24.711
27.083,24.68
26.544,24.678
26.307,24.722
25.857,24.737
26.724,24.744
26.36,24.738
26.441,24.69
25.839,24.806
26.619,24.679
26.837,24.749
26.468,24.729
26.675,24.698
26.422,24.753
26.439,24.692
26.347,24.75
26.585,24.764
26.441,24.715
26.337,24.772
26.6,24.756
26.515,24.754
26.419,24.734
26.432,24.78
26.404,24.77
26.428,24.761
26.441,24.783
26.827,24.752
26.744,24.749
