F090W_vega,F150W_vega
26.8,25.354
26.706,25.466
26.909,25.418
27.07,25.415
26.899,25.425
26.981,25.435
26.563,25.423
26.866,25.454
26.876,25.408
27.013,25.411
26.939,25.438
27.139,25.459
27.002,25.452
27.067,25.475
26.907,25.426
27.76,25.449
27.07,25.469
26.521,25.476
26.864,25.45
26.888,25.427
26.279,25.612
27.019,25.516
27.078,25.427
26.594,25.529
26.699,25.465
26.91,25.519
27.003,25.463
27.149,25.505
26.558,25.498
27.085,25.524
27.031,25.507
27.025,25.541
27.013,25.542
26.928,25.464
27.354,25.474
26.539,25.505
26.918,25.534
27.188,25.526
27.331,25.56
27.028,25.536
26.909,25.485
26.922,25.528
26.655,25.574
27.016,25.537
27.058,25.511
27.176,25.548
27.095,25.552
26.935,25.559
27.02,25.499
26.477,25.647
26.967,25.495
27.142,25.577
26.622,25.565
27.176,25.584
26.885,25.524
26.98,25.594
27.121,25.576
27.157,25.574
27.057,25.571
27.121,25.501
27.072,25.581
27.178,25.575
27.064,25.595
26.905,25.546
27.181,25.572
27.143,25.573
26.919,25.583
27.244,25.584
27.176,25.597
27.094,25.58
26.965,25.551
27.155,25.578
27.017,25.591
27.051,25.587
26.712,25.627
27.03,25.615
27.17,25.598
27.088,25.531
26.922,25.596
27.159,25.533
27.152,25.614
27.198,25.604
27.156,25.547
26.71,25.576
27.126,25.626
27.013,25.547
27.085,25.615
26.742,25.637
27.235,25.631
27.133,25.619
27.098,25.54
27.172,25.605
27.235,25.631
26.667,25.609
27.224,25.629
26.954,25.591
27.108,25.619
27.279,25.578
27.159,25.642
27.171,25.599
27.135,25.597
27.41,25.631
27.045,25.628
26.856,25.594
27.413,25.645
27.172,25.653
27.117,25.6
27.422,25.646
26.836,25.652
27.182,25.654
27.068,25.575
27.216,25.593
27.276,25.659
27.321,25.661
27.146,25.643
26.622,25.641
27.081,25.663
27.213,25.688
27.166,25.645
27.024,25.582
27.19,25.645
27.354,25.665
27.32,25.641
27.01,25.622
26.974,25.622
27.163,25.661
27.228,25.612
27.176,25.58
27.203,25.674
27.38,25.659
27.097,25.648
27.181,25.666
26.887,25.686
27.311,25.596
27.22,25.612
27.159,25.612
27.171,25.687
26.774,25.645
27.168,25.666
27.268,25.639
26.898,25.636
27.16,25.634
27.313,25.658
27.171,25.657
27.213,25.697
26.715,25.725
27.141,25.658
27.136,25.702
27.194,25.647
27.232,25.69
27.128,25.689
27.272,25.651
27.211,25.706
27.153,25.683
27.251,25.701
27.113,25.686
27.33,25.698
27.337,25.65
27.348,25.674
27.078,25.693
27.214,25.708
27.11,25.651
27.204,25.64
27.205,25.64
27.086,25.643
27.161,25.643
27.155,25.705
27.193,25.705
27.252,25.708
26.731,25.685
27.106,25.628
27.142,25.619
26.408,25.934
27.172,25.641
27.205,25.721
27.192,25.679
27.144,25.742
27.135,25.641
27.235,25.693
27.211,25.656
27.197,25.718
27.161,25.717
27.154,25.743
27.392,25.721
27.266,25.711
27.202,25.698
27.294,25.71
27.302,25.731
27.116,25.663
27.347,25.734
27.302,25.665
27.35,25.683
28.084,25.702
27.29,25.738
27.116,25.761
27.449,25.702
27.165,25.672
27.397,25.731
27.293,25.699
27.087,25.765
27.35,25.737
27.127,25.712
27.114,25.682
27.122,25.752
27.137,25.767
27.243,25.747
27.199,25.707
27.257,25.759
27.207,25.688
27.355,25.687
27.206,25.723
27.383,25.71
27.159,25.763
27.362,25.776
27.236,25.752
27.348,25.782
27.404,25.777
27.169,25.752
27.409,25.766
27.374,25.774
27.488,25.717
27.043,25.771
27.432,25.781
27.248,25.784
27.424,25.774
27.353,25.786
27.233,25.773
27.208,25.727
27.274,25.731
27.459,25.803
27.259,25.782
27.335,25.776
27.316,25.726
27.143,25.725
27.251,25.729
27.289,25.795
27.599,25.729
27.423,25.78
27.518,25.8
27.321,25.791
27.259,25.726
27.203,25.733
27.26,25.809
27.538,25.723
27.28,25.814
27.51,25.776
27.112,25.724
27.445,25.808
27.352,25.797
27.39,25.817
27.38,25.813
27.416,25.79
27.47,25.755
27.366,25.761
27.315,25.795
27.23,25.828
27.337,25.816
27.295,25.741
27.166,25.794
26.93,25.776
27.214,25.819
27.158,25.824
27.363,25.8
27.247,25.736
27.083,25.825
27.375,25.836
27.278,25.759
27.239,25.771
27.144,25.813
27.26,25.816
27.292,25.821
27.32,25.806
27.289,25.75
27.371,25.836
27.216,25.808
27.17,25.76
27.227,25.828
27.247,25.819
27.181,25.838
27.293,25.812
27.21,25.828
27.628,25.811
27.363,25.82
27.405,25.86
27.28,25.788
27.392,25.823
27.476,25.832
27.391,25.82
27.236,25.82
27.15,25.789
27.426,25.834
27.962,25.801
27.22,25.854
27.29,25.824
27.267,25.843
27.233,25.84
27.212,25.85
27.387,25.86
27.416,25.842
27.344,25.852
27.171,25.793
27.276,25.832
26.834,25.868
27.225,25.808
27.173,25.788
27.217,25.845
27.286,25.854
27.253,25.837
27.103,25.862
27.362,25.856
27.32,25.779
27.255,25.864
27.383,25.84
27.205,25.816
27.351,25.817
27.172,25.79
27.425,25.87
26.932,25.878
27.242,25.785
27.373,25.852
27.41,25.796
27.216,25.8
27.365,25.832
27.26,25.865
27.319,25.842
27.299,25.85
27.172,25.824
27.262,25.819
27.1,25.782
27.324,25.803
27.526,25.881
27.352,25.887
27.251,25.861
27.411,25.819
27.363,25.808
27.199,25.872
26.862,25.896
27.412,25.868
27.327,25.868
27.541,25.903
27.178,25.885
27.266,25.872
27.269,25.865
27.433,25.877
27.54,25.882
27.307,25.89
27.416,25.902
27.264,25.879
27.166,25.898
27.29,25.875
27.235,25.854
27.456,25.82
27.324,25.883
27.32,25.888
27.345,25.835
27.209,25.905
27.493,25.844
27.206,25.902
27.504,25.906
27.428,25.903
27.242,25.914
27.242,25.885
27.186,25.918
27.455,25.902
27.359,25.908
27.363,25.888
27.309,25.902
27.245,25.916
27.483,25.916
27.362,25.902
28.037,25.948
27.285,25.908
27.479,25.893
27.478,25.895
27.33,25.851
27.556,25.923
27.292,25.913
27.357,25.943
27.244,25.841
27.22,25.903
27.271,25.855
27.486,25.915
27.452,25.916
27.239,25.874
27.227,25.911
27.289,25.843
27.321,25.866
27.233,25.945
27.245,25.845
27.367,25.917
27.542,25.921
27.299,25.898
27.354,25.879
27.575,25.89
27.219,25.848
26.966,25.933
27.351,25.938
27.294,25.854
27.364,25.926
27.597,25.945
27.366,25.926
27.277,25.934
27.193,25.874
27.409,25.878
27.06,25.945
27.205,25.943
27.325,25.93
27.511,25.944
27.262,25.858
27.256,25.872
27.576,25.956
27.375,25.858
27.231,25.925
27.498,25.926
27.327,25.942
27.346,25.937
27.225,25.953
27.211,25.883
27.519,25.929
27.58,25.96
27.27,25.87
27.229,25.892
27.426,25.919
27.278,25.912
27.278,25.956
27.355,25.949
27.497,25.937
27.452,25.934
27.475,25.888
27.322,25.878
27.332,25.887
26.991,25.929
27.332,25.92
27.24,25.938
27.26,25.945
27.341,25.975
27.396,25.899
27.48,25.893
28.433,26.004
27.313,25.937
27.226,25.951
27.339,25.906
27.418,25.963
27.513,25.966
27.376,25.973
27.715,25.987
27.443,25.916
27.236,25.985
27.311,25.917
27.229,25.964
27.53,25.939
26.761,26.244
27.104,25.976
27.356,25.964
27.444,25.965
27.572,25.979
27.317,25.929
27.443,25.915
27.298,25.968
27.357,25.945
27.548,25.975
27.387,25.921
27.503,25.987
27.502,25.922
27.251,25.934
27.514,25.959
27.299,25.922
27.233,25.982
27.557,25.936
27.386,25.997
27.424,25.982
27.621,26.012
27.483,25.975
27.431,25.921
27.084,25.985
27.436,25.984
27.45,25.904
27.189,25.987
27.423,25.979
27.369,25.978
27.648,25.974
27.41,25.945
27.377,25.94
27.276,25.914
27.445,25.981
27.569,26.003
27.538,25.995
27.15,25.943
27.276,26.021
27.572,25.928
27.482,25.985
27.336,25.995
27.204,26.022
27.349,25.992
27.532,25.994
27.438,25.99
27.258,25.945
27.241,26.002
27.438,26.011
27.474,26.0
27.524,26.006
27.551,26.017
27.339,26.007
27.323,26.016
27.52,25.991
27.695,25.972
27.487,26.018
27.403,25.975
27.616,25.992
27.327,26.016
27.375,25.944
27.582,25.961
27.31,25.969
27.444,25.952
27.565,26.031
27.337,26.018
27.507,25.999
27.394,26.017
27.445,25.931
27.18,26.04
27.534,25.965
27.809,26.026
27.265,25.951
27.304,26.023
27.542,26.021
27.585,25.995
27.101,26.03
27.283,26.02
27.52,26.019
27.361,25.942
27.402,26.038
27.44,26.018
27.423,26.012
27.518,26.01
27.526,25.98
27.496,26.044
27.388,25.97
27.655,26.026
27.657,26.029
27.499,26.0
27.4,26.037
27.331,26.032
27.481,26.004
27.279,26.055
27.419,26.036
27.468,25.994
27.551,26.034
27.37,25.984
27.688,26.043
27.228,25.977
27.261,26.016
27.347,25.938
27.803,26.042
27.415,26.017
27.624,26.061
27.465,25.984
27.448,26.053
27.499,26.019
27.433,25.984
27.482,26.038
27.576,26.06
27.58,26.039
27.394,25.987
27.422,26.038
27.264,26.001
27.432,25.979
27.187,26.012
27.475,26.043
27.562,26.052
27.39,26.042
27.444,25.969
27.577,26.04
27.433,25.959
27.467,25.975
27.49,26.037
27.357,26.038
27.461,26.023
27.393,26.025
27.407,25.972
27.329,25.968
27.262,26.0
27.468,26.059
27.458,25.968
27.515,26.064
27.412,26.033
27.558,26.044
27.407,25.987
27.243,26.094
27.44,25.978
27.121,26.105
27.314,26.007
27.493,26.054
27.569,25.995
27.491,25.962
27.568,26.072
27.358,26.054
27.422,26.036
27.623,26.068
27.413,26.071
27.52,26.057
27.288,26.012
27.376,25.997
27.425,26.055
27.109,25.997
27.596,26.027
27.413,26.068
27.192,26.067
27.436,26.063
27.755,26.055
27.406,26.08
27.381,26.011
27.604,26.071
27.647,26.086
27.329,26.024
27.505,26.054
27.589,26.057
27.414,25.99
27.483,26.044
27.477,26.0
27.47,26.064
27.177,26.09
27.41,26.014
27.213,26.095
27.369,26.084
27.376,26.071
27.504,26.066
27.424,26.049
27.446,26.022
27.719,26.041
27.496,26.024
27.241,26.022
27.628,26.077
27.592,26.07
27.643,26.024
27.578,26.086
27.474,26.004
27.442,26.063
27.516,26.078
27.76,26.098
27.445,26.03
27.389,26.035
27.524,26.032
27.692,26.086
27.455,26.037
27.481,26.077
27.177,26.119
27.448,26.071
26.821,26.118
27.427,26.018
27.324,26.099
27.485,26.022
27.374,26.043
27.271,26.031
27.694,26.085
27.562,26.089
27.264,26.121
27.47,26.094
27.619,26.069
27.546,26.031
27.394,26.036
27.473,26.037
27.467,26.12
27.636,26.078
27.426,26.041
27.345,26.025
27.487,26.046
27.567,26.093
27.537,26.106
27.297,26.051
27.579,26.087
27.572,26.125
27.374,26.093
27.599,26.097
27.504,26.029
27.649,26.092
27.588,26.036
27.594,26.101
27.685,26.123
27.759,26.114
27.336,26.04
27.539,26.023
27.451,26.104
27.392,26.1
27.536,26.097
27.368,26.122
27.539,26.11
27.261,26.043
27.485,26.098
27.56,26.097
27.659,26.122
27.522,26.072
27.334,26.049
27.383,26.069
27.731,26.105
27.543,26.09
27.439,26.118
27.451,26.04
27.483,26.113
27.227,26.077
27.288,26.131
27.496,26.055
27.443,26.123
27.636,26.105
27.641,26.04
27.294,26.096
27.531,26.124
27.506,26.071
27.415,26.027
27.403,26.136
27.486,26.127
27.427,26.13
27.731,26.048
27.632,26.1
27.312,26.067
27.573,26.134
27.448,26.117
27.691,26.074
27.521,26.052
27.418,26.128
27.501,26.046
27.417,26.061
27.336,26.139
27.485,26.035
27.726,26.112
27.507,26.041
27.519,26.063
27.257,26.129
27.355,26.118
27.444,26.142
27.486,26.077
27.734,26.073
27.404,26.087
27.454,26.133
27.381,26.072
27.519,26.132
27.898,26.127
27.332,26.119
27.502,26.086
27.486,26.142
27.638,26.138
27.286,26.139
27.593,26.12
27.409,26.047
27.429,26.12
27.577,26.129
27.551,26.071
27.38,26.104
27.483,26.161
27.693,26.143
27.462,26.137
27.435,26.09
27.492,26.135
27.578,26.149
27.337,26.173
27.604,26.074
27.489,26.133
27.627,26.095
27.513,26.081
27.473,26.081
27.474,26.134
27.469,26.108
27.315,26.148
27.519,26.136
27.632,26.08
27.362,26.111
27.743,26.124
27.817,26.133
27.564,26.147
27.721,26.152
27.529,26.166
27.651,26.131
27.581,26.141
27.245,26.1
27.715,26.131
27.583,26.089
27.252,26.136
27.34,26.166
27.401,26.116
27.55,26.185
27.591,26.072
27.45,26.085
27.651,26.153
27.654,26.18
27.528,26.178
27.804,26.163
27.66,26.093
27.441,26.155
27.514,26.103
27.672,26.097
27.596,26.152
27.458,26.175
27.58,26.101
27.388,26.137
27.659,26.11
27.409,26.105
27.406,26.084
27.471,26.134
27.488,26.101
27.464,26.109
27.586,26.107
27.461,26.109
27.636,26.099
27.219,26.126
27.669,26.182
27.456,26.175
27.656,26.155
27.559,26.15
27.531,26.093
27.331,26.12
27.711,26.167
27.4,26.14
27.548,26.17
27.466,26.118
27.474,26.17
27.697,26.116
27.35,26.195
27.595,26.109
27.552,26.181
27.522,26.101
27.522,26.185
27.789,26.15
27.596,26.127
27.542,26.186
27.641,26.172
27.557,26.126
27.459,26.144
27.404,26.141
27.543,26.182
27.619,26.166
27.432,26.199
27.573,26.19
27.804,26.178
27.517,26.123
27.558,26.172
27.717,26.12
27.36,26.149
27.502,26.135
27.773,26.171
27.505,26.194
27.37,26.159
