F090W_vega,F150W_vega
25.583,24.159
25.696,24.156
25.672,24.165
25.578,24.156
25.47,24.178
25.483,24.178
25.535,24.176
25.584,24.171
25.715,24.158
25.726,24.177
25.778,24.249
25.579,24.181
25.639,24.199
25.657,24.177
25.874,24.191
25.657,24.2
24.466,24.668
25.58,24.189
25.72,24.194
25.746,24.188
25.574,24.208
25.752,24.181
25.76,24.2
25.753,24.18
25.836,24.215
25.658,24.204
25.65,24.213
25.663,24.21
25.683,24.219
25.569,24.224
25.518,24.228
25.814,24.225
25.716,24.201
25.765,24.223
25.429,24.24
25.698,24.224
25.782,24.218
25.701,24.225
25.524,24.252
25.47,24.247
25.741,24.249
25.815,24.244
25.633,24.254
25.703,24.239
25.751,24.253
25.754,24.261
25.823,24.253
25.738,24.257
25.1,24.349
25.739,24.25
25.058,24.36
25.704,24.266
25.94,24.267
25.803,24.276
25.747,24.262
25.725,24.269
25.359,24.295
25.764,24.257
25.699,24.277
25.516,24.276
25.719,24.272
25.615,24.283
25.69,24.289
25.643,24.294
25.768,24.304
25.754,24.291
25.797,24.299
25.735,24.293
25.703,24.295
25.647,24.293
25.661,24.299
25.673,24.298
25.787,24.285
25.625,24.3
25.78,24.304
25.733,24.291
25.74,24.315
25.715,24.306
25.665,24.304
25.89,24.293
25.623,24.312
25.664,24.325
25.679,24.31
25.821,24.304
25.827,24.317
25.86,24.31
25.661,24.325
25.735,24.338
25.78,24.322
25.772,24.327
25.74,24.338
25.717,24.328
25.854,24.324
25.869,24.338
25.745,24.33
25.66,24.346
25.624,24.344
25.727,24.346
25.761,24.346
25.733,24.348
25.692,24.336
25.882,24.331
25.645,24.358
25.939,24.34
25.968,24.344
25.815,24.344
25.865,24.349
25.837,24.358
25.737,24.364
25.877,24.362
25.806,24.358
25.813,24.371
25.688,24.367
25.937,24.349
25.85,24.367
25.639,24.372
25.82,24.356
25.835,24.37
25.846,24.356
25.912,24.362
25.806,24.378
25.692,24.371
26.002,24.373
25.844,24.373
25.858,24.369
25.916,24.386
25.816,24.377
25.725,24.387
25.826,24.371
25.822,24.396
25.898,24.379
25.795,24.408
25.724,24.42
25.947,24.401
25.824,24.419
25.815,24.421
25.519,24.421
26.001,24.413
26.035,24.423
26.02,24.427
26.03,24.438
25.913,24.426
25.655,24.44
25.789,24.422
25.975,24.421
26.023,24.438
25.995,24.427
25.779,24.449
25.974,24.445
25.899,24.442
24.723,24.964
25.934,24.461
25.902,24.455
25.78,24.465
25.914,24.461
25.974,24.446
25.806,24.468
25.984,24.468
26.067,24.466
25.396,24.498
25.935,24.47
26.021,24.467
25.904,24.477
25.006,24.692
25.991,24.466
25.953,24.48
25.757,24.492
25.993,24.491
26.021,24.483
25.934,24.495
25.835,24.486
25.973,24.48
26.053,24.495
25.741,24.484
25.89,24.474
25.879,24.477
25.917,24.476
26.118,24.5
25.962,24.48
26.159,24.499
25.943,24.506
26.074,24.508
25.801,24.495
26.051,24.51
25.981,24.502
25.974,24.501
26.044,24.496
25.914,24.492
26.127,24.501
26.034,24.512
25.833,24.525
25.999,24.512
25.975,24.51
25.85,24.504
25.979,24.53
25.994,24.521
26.003,24.51
25.829,24.533
26.034,24.512
26.078,24.546
25.925,24.502
25.978,24.539
25.882,24.532
25.643,24.547
25.736,24.536
26.021,24.556
25.85,24.551
25.862,24.548
26.083,24.545
25.952,24.553
25.96,24.542
25.93,24.572
26.018,24.552
26.018,24.568
26.147,24.563
25.897,24.567
26.02,24.565
26.038,24.576
26.065,24.58
26.082,24.585
25.954,24.573
25.968,24.569
26.232,24.6
25.833,24.601
25.913,24.572
25.985,24.595
25.933,24.577
26.141,24.587
25.867,24.6
26.094,24.577
26.16,24.608
26.218,24.607
26.004,24.606
26.146,24.605
25.862,24.6
26.184,24.606
26.051,24.596
25.945,24.615
26.05,24.603
25.975,24.625
26.076,24.618
26.101,24.628
26.148,24.613
25.927,24.606
26.122,24.621
26.139,24.617
26.074,24.622
26.134,24.632
26.053,24.632
25.93,24.648
25.916,24.625
25.978,24.64
26.081,24.635
26.145,24.624
25.979,24.629
25.959,24.659
26.034,24.651
26.102,24.633
25.982,24.659
26.036,24.652
26.082,24.629
25.977,24.645
26.046,24.635
26.162,24.635
25.083,24.91
25.945,24.655
25.944,24.646
26.118,24.66
26.053,24.657
26.275,24.655
26.031,24.657
25.843,24.65
25.94,24.665
26.109,24.673
25.794,24.675
25.981,24.667
26.17,24.656
25.64,24.706
25.981,24.679
25.926,24.688
26.185,24.678
26.242,24.673
26.109,24.69
25.958,24.671
26.135,24.682
25.972,24.682
26.049,24.691
26.089,24.702
26.103,24.683
26.133,24.697
26.115,24.702
25.989,24.698
26.244,24.706
26.091,24.696
26.195,24.695
25.932,24.72
26.026,24.71
25.837,24.739
26.254,24.704
26.303,24.723
26.0,24.714
25.865,24.719
26.168,24.724
26.15,24.715
26.09,24.717
26.138,24.713
26.048,24.71
26.16,24.725
26.178,24.731
26.041,24.729
26.115,24.714
26.195,24.715
25.862,24.749
26.05,24.737
26.117,24.739
26.162,24.73
26.135,24.742
26.126,24.737
26.035,24.742
26.077,24.716
26.086,24.748
26.033,24.725
26.213,24.743
26.363,24.742
26.076,24.729
26.248,24.753
26.212,24.732
26.305,24.763
25.997,24.75
26.095,24.755
26.082,24.768
26.233,24.751
25.989,24.768
26.022,24.778
26.238,24.775
